                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1334,                 3.4888,                 1.4441,                0.54225,                0.27571,                0.23257,                 0.1486,                 1.1509,                 3.3191,                 1.5421,               0.070016,              0.0033315,              0.0033315
                      1,                 1.1073,                 2.9277,                 1.4047,                 0.4567,                0.38102,                0.35666,                0.23667,                 1.1226,                 2.9276,                 1.4871,               0.037817,              0.0044654,              0.0044654
                      2,                 1.0808,                 2.6902,                 1.3859,                0.37636,                0.36154,                0.36738,                0.25126,                  1.065,                 2.6368,                 1.4304,              0.0034176,              0.0033994,              0.0033994
